identifiantReferentiel,titre,unite,titreCourt,titreLong,parents,categories,thematiques,actionIds,valeurCalcule,participationScore,sansValeurUtilisateur,borneMin,borneMax,precision,description,exprCible,exprSeuil,libelleCibleSeuil
cae_45.d,Stationnement vélo pour 100 habitants - Sans accroche,nb/100 habitants,Sans accroche,Nombre de places de stationnement vélo (sans accroche) pour 100 habitants,cae_45,,mobilite_et_transport,,,FALSE,FALSE,,,2,,,,
cae_46,Fréquentation des transports en commun,nombre de voyages/hab,,Fréquentation des transports en commun par habitant,,"SYDEV, clef, cae",mobilite_et_transport,cae_4.3.3,,TRUE,FALSE,,,2,"Il s'agit du nombre moyen de voyages en transport en commun effectué chaque année par un habitant.

-   Valeur limite : 32 (<100 000 hab) et 64 (>100 000 hab)
    
-   Valeur cible : 114 (<100 000 hab) et 160 (>100 000 hab)
    

Source de l'indicateur : CEREMA - Transports collectifs urbains de province, 2017","si identite(population, plus_de_100000) alors 160 sinon 114","si identite(population, plus_de_100000) alors 64 sinon 32",Valeurs cible et limite définies par le programme T.E.T.E.
cae_47,Maillage du territoire par les transports en commun,Nombre d'arrêts/km,,Nombre moyen d'arrêts par km du réseau de transport en commun,,cae,mobilite_et_transport,cae_4.3.3,,FALSE,FALSE,,,2,"L'indicateur a pour objectif de mesurer le maillage du territoire par les transports en commun. L'indicateur est basé sur une moyenne tous modes de TC confondus.

D'autres indicateurs peuvent être utilisés pour suivre le maillage du territoire les transports en commun: nb arrêts/hab, km de réseau/hab ou par ha de territoire, % de population desservie dans un rayon de 300-500 mètres... Il est possible de créer ces autres indicateurs dans les indicateurs personnalisés et de les lier à cet indicateur pour en faciliter le suivi.",,,
cae_48,Ressources humaines dédiées climat-air-énergie,%,,"Part d'ETP de la collectivité dédié à la mise en œuvre de la politique climat, air et énergie",,"SYDEV, cae",strategie_orga_interne,cae_5.1.1,,FALSE,FALSE,,,2,"L’indicateur mesure le nombre de personnes en équivalent temps plein dédiées à la mise en œuvre de la politique climat-air-énergie. Pour être comptabilisé à 100%, l’intitulé du poste doit clairement se référer à cette politique (e : chargé de mission énergie, plan climat, mobilité douce…) ; pour des postes mixtes (ex : chargé de mission bâtiments), le poste ne doit pas être compté entièrement dans l’indicateur, mais uniquement l’estimation du % des tâches en lien avec la politique climat-air-énergie. Le personnel externe (prestataires) ne doit pas être pris en compte. Pour faciliter la comparaison, le nombre d’ETP est ramené au nombre total d'ETP de la collectivité.",,,
cae_49.a,Budget climat-air-énergie,euros,,Budget associé à la politique climat-air-énergie,,"SYDEV, agregation, cae",strategie_orga_interne,cae_5.2.1,opt_val(cae_49.b)+opt_val(cae_49.c)+opt_val(cae_49.d)+opt_val(cae_49.e)+opt_val(cae_49.i),FALSE,FALSE,,,2,"L'indicateur suit et totalise les budgets annuels associés aux actions les plus clairement identifiables de la politique climat-air-énergie de la collectivité, en fonctionnement et en investissement. L'indicateur doit exister et être suivi annuellement pour être valorisé. Pour faciliter la comparaison au fil du temps et entre collectivités, le budget est rapporté au nombre d'habitant et la décomposition suivante peut être utilisée :

-   études/expertises concernant la maîtrise de l’énergie et la baisse des émissions de GES dans les différents secteurs consommateurs et émetteurs, les énergies renouvelables, l'adaptation au changement climatique, la qualité de l'air
    
-   politique cyclable (études, infrastructures et services)
    
-   actions communication/sensibilisation climat-air-énergie
    
-   subventions octroyées par la collectivité aux particuliers et autres acteurs privés dans le domaine énergétique et climatique. La part financée par la collectivité dans des subventions partenariales est prise en compte.
    
-   projets de coopération climat-air-énergie
    
-   travaux de rénovation énergétique du patrimoine public
    
-   installations d'énergie renouvelable
    

A noter : Dans une approche véritablement transversale et intégrée, l'ensemble des budgets des différents services contribuent à la politique climat-air-énergie, mais dans une proportion difficilement quantifiable. Les budgets associés aux services déchets/eau/assainissement/transports publics/voirie, sont notamment associés à cette politique, mais répondent à des objectifs plus larges.",,,
cae_49.a-hab,Budget climat-air-énergie par habitant,euros/hab,,Budget associé à la politique climat-air-énergie par habitant,,"cae, clef",strategie_orga_interne,cae_5.2.1,val(cae_49.a)/val(terr_1),FALSE,FALSE,,,2,,,,
cae_49.b,Budget études/expertises MDE/ENR/qualité de l'air/adaptation au changement climatique,euros,Etudes/expertises,"Budget études/expertises Maîtrise de l'énergie, ENR, qualité de l'air et adaptation au changement climatique",cae_49.a,cae,strategie_orga_interne,cae_5.2.1,,FALSE,FALSE,,,2,,,,
cae_49.c,Budget communication/sensibilisation climat-air-énergie,euros,Communication et sensibilisation,Budget dédié aux actions de communication et sensibilisation climat-air-énergie,cae_49.a,cae,strategie_orga_interne,cae_5.2.1,,FALSE,FALSE,,,2,,,,
cae_49.d,Aides financières accordées aux particuliers et acteurs privés,euros,Aides financières,Montant des aides financières accordées aux particuliers et acteurs privés,cae_49.a,cae,strategie_orga_interne,cae_5.2.1,,FALSE,FALSE,,,2,,,,
cae_49.d.hab,Aides financières accordées aux particuliers et acteurs privés par habitant,euros/hab,,Montant des aides financières accordées aux particuliers et acteurs privés par habitant,cae_49.a-hab,cae,strategie_orga_interne,cae_5.2.1,val(cae_49.d)/val(terr_1),FALSE,FALSE,,,2,,,,
cae_49.e,Budget projets de coopération,euros,Projets de coopération,Budget dédié aux projets de coopération,cae_49.a,cae,strategie_orga_interne,cae_6.1.1,,FALSE,FALSE,,,2,,,,
cae_49.f,Budget politique cyclable,euros,Politique cyclable,Budget dédiée à la politique cyclable,cae_49.i,cae,strategie_orga_interne,cae_4.3.2,,FALSE,FALSE,,,2,,,,
cae_49.f-hab,Budget politique cyclable par habitant,euros/hab,,Budget dédiée à la politique cyclable par habitant,cae_49.a-hab,cae,strategie_orga_interne,cae_4.3.2,val(cae_49.f)/val(terr_1),TRUE,FALSE,,,2,"Valeur limite TETE : 5
Valeur cible TETE : 30",30,5,Valeurs cible et limite définies par le programme T.E.T.E.
cae_49.g,Budget travaux rénovation énergétique patrimoine public,euros,Rénovation patrimoine public,Budget consacré aux travaux de rénovation énergétique du patrimoine public,cae_49.i,cae,strategie_orga_interne,cae_5.2.1,,FALSE,FALSE,,,2,,,,
cae_49.h,Budget installations ENR publiques,euros,Installations ENR publiques,Budget dédié aux installations d'énergies renouvelables publiques,cae_49.i,cae,strategie_orga_interne,cae_5.2.1,,FALSE,FALSE,,,2,,,,
cae_49.i,Budget infrastructures et aménagements,euros,Infrastructures et aménagements,Budget dédié infrastructures et aménagements,cae_49.a,"agregation, cae",strategie_orga_interne,,opt_val(cae_49.f)+opt_val(cae_49.g)+opt_val(cae_49.h),FALSE,FALSE,,,2,,,,
