,nom,siren,nature
1243,CC Loir-Lucé-Bercé,200070373,CC
1244,CC Maine Saosnois,200072676,CC
1245,CC Le Gesnois Bilurien,200072684,CC
1246,CC des Vallées de la Braye et de l'Anille,200072692,CC
1247,CC Haute Sarthe Alpes Mancelles,200072700,CC
1248,CC de la Champagne Conlinoise et du Pays de Sillé,200072718,CC
1249,CC Sud Sarthe,200073112,CC
1250,CC de Sablé-sur-Sarthe,247200090,CC
1251,CC du Pays Fléchois,247200348,CC
1252,CC du Sud Est du Pays Manceau,247200421,CC
1253,CC Orée de Bercé - Belinois,247200447,CC
1254,CC du Val de Sarthe,247200629,CC
1255,CC du Pays de l'Huisne Sarthoise,247200686,CC
1256,SM du Val de Loir pour collectes et traitement des déchets,257200147,SMF
1257,SMIRGEOM du Nord Ouest de la Sarthe,257201251,SMF
1258,Syndicat mixte de valorisation des ordures ménagères - Loir et Sarthe (SYVALORM Loir et Sarthe),257201376,SMF
1259,SM du Pays vallée de la Sarthe,200001873,SMO
1260,SM d'étude pour l'élimination des déchets du secteur Sud de la Sarthe,257201988,SMO
1261,SM du Pays de la Haute Sarthe,257202358,SMO
1262,PETR Pays vallée du Loir,200076396,PETR
1263,CA Grand Lac,200068674,CA
1264,CA Arlysère,200068997,CA
1265,CA du Grand Chambéry,200069110,CA
1266,CC Coeur de Tarentaise,200023299,CC
1267,CC Val Vanoise,200040798,CC
1268,CC Coeur de Savoie,200041010,CC
1269,CC Haute Maurienne Vanoise,200070340,CC
1270,CC Coeur de Maurienne Arvan,200070464,CC
1271,CC des Vallées d'Aigueblanche,247300015,CC
1272,CC de Haute-Tarentaise,247300254,CC
1273,CC de Yenne,247300262,CC
1274,CC du Canton de La Chambre,247300361,CC
1275,CC Maurienne Galibier,247300452,CC
1276,CC Val Guiers,247300528,CC
1277,CC du Lac d'Aiguebelette (CCLA),247300668,CC
1278,CC Porte de Maurienne,247300676,CC
1279,CC Les Versants d'Aime,247300817,CC
1280,SM Savoie déchets,200023364,SMF
1281,SIRTOM Maurienne,257301457,SMF
1282,CA Annemasse-Les Voirons-Agglomération,200011773,CA
1283,CA du Grand Annecy,200066793,CA
1284,CA Thonon Agglomération,200067551,CA
1285,CC Faucigny-Glières,200000172,CC
1286,CC de la Vallée de Chamonix-Mont-Blanc,200023372,CC
1287,CC Cluses-Arve et Montagnes,200033116,CC
1288,CC des Montagnes du Giffre,200034098,CC
1289,CC Pays du Mont-Blanc,200034882,CC
1290,CC Usses et Rhône,200070852,CC
1291,CC Pays d'Evian Vallée d'Abondance,200071967,CC
1292,CC de la Vallée Verte,247400047,CC
1293,CC du Pays de Cruseilles,247400112,CC
1294,CC Fier et Usses,247400567,CC
1295,CC Arve et Salève,247400583,CC
1296,CC des Vallées de Thônes,247400617,CC
1297,CC des Quatre Rivières,247400666,CC
1298,CC du Haut-Chablais,247400682,CC
1299,CC du Genevois,247400690,CC
1300,CC du Pays Rochois,247400724,CC
1301,CC Rumilly Terre de Savoie,247400740,CC
1302,CC des sources du lac d'Annecy,247400773,CC
1303,SIVOM de la région de Cluses,247400799,SMF
1304,SI du traitement des ordures ménagères des vallées du Mont-Blanc,257400663,SMF
1305,Syndicat de traitement des ordures du Chablais,257401463,SMF
1306,Métropole du Grand Paris,200054781,METRO
1307,SM central de traitement des ordures ménagères (SYCTOM),257500074,SMF
1308,Métropole Rouen Normandie,200023414,METRO
1309,Le Havre Seine Métropole,200084952,CU
1310,CA Caux Seine Agglo,200010700,CA
1311,CA Fécamp Caux Littoral Agglomération,200069821,CA
1312,CA de la Région Dieppoise,247600786,CA
1313,CC Terroir de Caux,200068534,CC
1314,CC interrégionale Aumale - Blangy-sur-Bresle,200069722,CC
1315,CC des 4 rivières,200069730,CC
1316,CC de la Côte d'Albâtre,200069839,CC
1317,CC Plateau de Caux-Doudeville-Yerville,200069847,CC
1318,CC Communauté Bray-Eawy,200070068,CC
1319,CC inter-Caux-Vexin,200070449,CC
1320,CC Campagne-de-Caux,247600505,CC
1321,CC des Villes Soeurs,247600588,CC
1322,CC de Londinières,247600604,CC
1323,CC Yvetot Normandie,247600620,CC
1324,CC Caux - Austreberthe,247600646,CC
1325,CC Falaises du Talou,247600729,CC
1326,Syndicat des ordures ménagères des vallées de l'Austreberthe et Seine (SOMVAS),200074359,SMF
1327,Syndicat départemental d'énergie de Seine-Maritime,257600445,SMF
1328,SM d'élimination des déchets de l'arrondissement de Rouen (SMEDAR),257604371,SMF
1329,Syndicat d'élimination et de valorisation énergétique des déchets de l'estuaire (SEVEDE),257604405,SMF
1330,SM de traitement et de valorisation des déchets du Pays de Caux (SMITVAD),257604710,SMF
1331,PETR Pays plateau de Caux-Maritime,200049609,PETR
1332,Pays Dieppois - Terroir de Caux,200049617,PETR
1333,CA Paris - Vallée de la Marne,200057958,CA
1334,CA du Pays de Meaux,200072130,CA
1335,CA du Pays de Fontainebleau,200072346,CA
1336,CA Coulommiers Pays de Brie,200090504,CA
1337,CA Melun Val de Seine,247700057,CA
1338,CA Val d'Europe Agglomération,247700339,CA
1339,CA Marne et Gondoire,247700594,CA
1340,CC Les Portes Briardes Entre Villes et Forêts,200023125,CC
1341,CC Pays de Nemours,200023240,CC
1342,CC Gâtinais Val de Loing,200023919,CC
1343,CC Plaines et Monts de France,200033090,CC
1344,CC du Provinois,200037133,CC
1345,CC Bassée-Montois,200040251,CC
1346,CC Brie des Rivières et Châteaux,200070779,CC
1347,CC des Deux Morin,200072544,CC
1348,CC Val Briard,200072874,CC
1349,CC Moret Seine et Loing,247700032,CC
1350,CC du Pays de l'Ourcq,247700065,CC
1351,CC Pays de Montereau,247700107,CC
1352,CC l'Orée de la Brie,247700644,CC
1353,CC Brie Nangissienne,247700701,CC
1354,SMF enlèvement et traitement des résidus ménagers de la région de Lagny-sur-Marne,257701631,SMF
1355,COVALTRI 77,257701656,SMF
1356,SMF collecte et traitement des ordures ménagères de la région de Fontainebleau,257701698,SMF
