id,competenceCode,formulation,consignesJustification,type,thematiqueId,ordonnancement,exprVisible,typesCollectivitesConcernees,description,ColonneNonImportee-Metier
AOM_2,,Quelle est la part de la collectivité autorité organisatrice de la mobilité (AOM) ?,,proportion,deplacer,2,"Si reponse(AOM_1, NON) alors VRAI",,,CAE
Transport_scolaire,6005,La collectivité a-t-elle la compétence « organisation de transports scolaires » ?,,binaire,deplacer,3,,,,RefCommun
PDM,6070,La collectivité est-elle dans l'obligation d'élaborer et mettre en œuvre un Plan de Déplacement Mobilité  ?,,binaire,deplacer,4,,,,RefCommun
pouvoir_police,,La collectivité exerce-t-elle la compétence police du Maire (circulation-stationnement) ?,,binaire,deplacer,5,,,,RefCommun / CAE
voirie,6040,"La collectivité a-t-elle la compétence Création, aménagement, entretien de la voirie communale ?",Préciser les zones de voirie gérée par la collectivité en cas de compétence partielle et/ou quelle collectivité détient la compétence,choix,deplacer,6,,,,RefCommun
voirie_1,,La collectivité a-t-elle la compétence voirie ?,,choix,deplacer,7,,,,CAE
voirie_2,,"Si la commune a transféré la compétence voirie (création, aménagement, entretien) et stationnement à l'EPCI, quelle est la part de la commune dans l'EPCI ?",,proportion,deplacer,8,,commune,,CAE
Congestion,,"Existe-t-il des problèmes de congestion, d’accidentalité ou de vitesse sur le territoire ?",,binaire,deplacer,9,,,,RefCommun
trafic,,Existe-t-il un potentiel d'action ou des problèmes liés à la limitation et réduction du trafic et de la vitesse sur les axes principaux ou dans certaines zones ?,,binaire,deplacer,10,,,,CAE
Charge,1025,"La collectivité a-t-elle la compétence « Création et entretien des infrastructures de charge nécessaires à l’usage des véhicules électriques ou hybrides rechargeable, en application de l’article article l2224 37 du CGCT » ?",,binaire,deplacer,11,,,,RefCommun
Vehicule,,La collectivité détient-elle au moins 1 véhicule ?,,binaire,deplacer,12,,,,RefCommun
Marchable,,La collectivité participe-t-elle au baromètre des villes marchables de la fédération française de randonnée ?,,binaire,deplacer,13,,,,RefCommun
FUB,,La collectivité participe-t-elle au baromètre des villes cyclables de la FUB ?,,binaire,deplacer,14,,,,RefCommun
cyclable,,La collectivité dispose-t-elle de compétences en matière de politique cyclable ?,,binaire,deplacer,15,,,"<p>AOM ou compétente en matière d’infrastructures vélos, de stationnement vélos, de services associés aux vélos</p>
",CAE
TC_1,,Les locaux de la collectivité sont-ils desservis ou desservables par les transports en commun ?,,binaire,deplacer,16,,,,CAE
versement_mobilite,,La collectivité est-elle concernée par le versement mobilité ?,,binaire,deplacer,17,,,,CAE
vehiculeCT_1,,La collectivité dispose-t-elle de véhicules ?,,binaire,deplacer,18,,,,CAE
creche,3010,La collectivité dispose-t-elle des compétences ou intervient-elle dans les crèches ?,,binaire,enfance,1,,,,RefCommun
relais_enfance,3015,La collectivité dispose-t-elle des compétences ou intervient-elle dans le domaine des relais petite enfance ?,,binaire,enfance,2,,,,RefCommun
MAM,3020,La collectivité dispose-t-elle des compétences ou intervient-elle dans le domaine des Maisons d'assistance maternelle ?,,binaire,enfance,3,,,,RefCommun
Enfance,5010,"La collectivité dispose-t-elle des compétences ou intervient-elle dans la Construction, aménagement, entretien et fonctionnement d'équipements de l'enseignement préélémentaire et élémentaire ?",,binaire,enfance,4,,,,RefCommun
activite_perisco,5015,"La collectivité dispose-t-elle des compétences ou intervient-elle dans les activités périscolaires (activités culturelles, sportives, artistiques complémentaires aux enseignements scolaires) ?",,binaire,enfance,5,,,,RefCommun
garderie_perisco,5050,La collectivité dispose-t-elle des compétences ou intervient-elle dans la garderie périscolaire ?,,binaire,enfance,6,,,,RefCommun
E_scolaire,,"Des établissements scolaires (maternelle, élémentaire, collège, lycée), périscolaire et/ou des structures d’accueil de jeunes enfants sont-ils présents sur le territoire ?",,binaire,enfance,7,,,,RefCommun
scolaire_1,,La collectivité est-elle en charge des équipements de l'enseignement pré-élementaire et élémentaire et/ou des activités périscolaires ?,,binaire,enfance,8,,,,CAE
scolaire_2,,Des établissements scolaires et/ou des structure d’accueil de jeunes enfants sont-ils présents sur le territoire ?,,binaire,enfance,9,,,"<p>La question porte sur les établissements scolaires du cycle primaire (école maternelle et élémentaire) et dans une moindre mesure secondaire (collège, lycée). Les structures d’accueil collectif des jeunes enfants peuvent concerner les établissements multi-accueil, les crèches parentales, les jardins d’enfants, les micro-crèches, les haltes-garderies, les maisons et les relais d’assistantes maternelles...</p>
",CAE
